League,Season,n_teams,matches_per_team,mean_pts,sd_pts,sd_ideal_precise,noll_scully_precise,hhi_normalized,cr4,pts_range,post_5subs,post_conf_lg,covid_season,ligue1_18teams
ENG,1516,20,38,51.65,15.43841756275899,7.688375063113864,2.008020867351688,0.004467195085735214,0.2787996127783156,64,0,0,0,0
ENG,1617,20,38,52.8,19.85102410191315,7.688375063113864,2.5819531356048726,0.007067535401865549,0.3153409090909091,69,0,0,0,0
ENG,1718,20,38,52.05,19.170907234936127,7.688375063113864,2.4934927182352795,0.006782875850190716,0.31988472622478387,69,0,0,0,0
ENG,1819,20,38,53.45,21.007454817153288,7.688375063113864,2.7323660259421674,0.007723630013532782,0.3161833489242282,82,0,0,0,0
ENG,1920,20,38,52.4,17.774612291278345,7.688375063113864,2.311881528329012,0.005753176572338133,0.29770992366412213,78,0,0,1,0
ENG,2021,20,38,52.85,16.887475895031297,7.688375063113864,2.1964948063019847,0.005105161733960165,0.2800378429517502,63,1,0,1,0
ENG,2122,20,38,52.6,19.345610137158957,7.688375063113864,2.5162157124686115,0.006763373613521724,0.31368821292775667,71,1,1,0,0
ENG,2223,20,38,52.65,18.1898612592724,7.688375063113864,2.3658915063263493,0.005968044138017974,0.3029439696106363,64,1,1,0,0
ENG,2324,20,38,52.9,20.227391537740417,7.688375063113864,2.63090592897638,0.007310354244393293,0.31190926275992437,75,1,1,0,0
ENG,2425,20,38,52.35,18.57637152264587,7.688375063113864,2.416163541730529,0.006295908516484872,0.28462273161413565,72,1,1,0,0
ESP,1516,20,38,52.4,18.10321285820486,7.688375063113864,2.354621452465001,0.00596786164467167,0.31774809160305345,59,0,0,0,0
ESP,1617,20,38,52.55,20.625673832692875,7.688375063113864,2.6827091112721138,0.007702662247320646,0.3168411037107517,73,0,0,0,0
ESP,1718,20,38,52.7,18.226932068551168,7.688375063113864,2.3707131765719414,0.005981029216098764,0.3045540796963947,73,0,0,0,0
ESP,1819,20,38,51.5,13.90758974918296,7.688375063113864,1.8089114585352,0.003646357859017412,0.283495145631068,55,0,0,0,0
ESP,1920,20,38,51.75,16.130634470505264,7.688375063113864,2.098055094618681,0.004857940552564631,0.2985507246376812,62,0,0,1,0
ESP,2021,20,38,51.55,17.839857799763692,7.688375063113864,2.3203677829601594,0.005988188208519211,0.31619786614936957,56,1,0,1,0
ESP,2122,20,38,51.45,15.240096007433467,7.688375063113864,1.9822258776825443,0.004387070888184141,0.2915451895043732,55,1,1,0,0
ESP,2223,20,38,52.55,15.88271155425891,7.688375063113864,2.0658086297660745,0.004567450623633137,0.2987630827783064,63,1,1,0,0
ESP,2324,20,38,51.65,20.36838365289644,7.688375063113864,2.6492442792777924,0.007775753524431022,0.32623426911907066,74,1,1,0,0
ESP,2425,20,38,52.15,17.898176913923532,7.688375063113864,2.327953145755431,0.00588950740115779,0.30488974113135187,72,1,1,0,0
FRA,1516,20,38,51.6,15.118479455706899,7.688375063113864,1.9664076390133565,0.004292267987437492,0.2800387596899225,78,0,0,0,0
FRA,1617,20,38,52.3,17.53222596729865,7.688375063113864,2.2803551886291475,0.0056187634102493845,0.31261950286806883,61,0,0,0,0
FRA,1718,20,38,52.2,17.599641144666915,7.688375063113864,2.2891236444881367,0.005683771678723382,0.31417624521072796,67,0,0,0,0
FRA,1819,20,38,51.5,16.119618645090767,7.688375063113864,2.096622304812764,0.0048985221088350996,0.29514563106796116,64,0,0,0,0
FRA,1920,20,28,38.35,11.811123214112508,6.599663291074443,1.7896554253133155,0.004742656469148573,0.2907431551499348,55,0,0,1,0
FRA,2021,20,38,52.4,16.487315698662666,7.688375063113864,2.1444473719502892,0.0049500243820903515,0.30438931297709926,62,1,0,1,0
FRA,2122,20,38,51.9,15.910605532821577,7.688375063113864,2.069436701801282,0.004699035280182589,0.28227360308285165,55,1,1,0,0
FRA,2223,20,38,52.4,18.896950464085606,7.688375063113864,2.457860121151811,0.006502657494502526,0.2958015267175573,67,1,1,0,0
FRA,2324,18,34,46.5,14.059746462445021,7.272474743090476,1.9332822676081594,0.005078980757909983,0.3142174432497013,51,1,1,0,1
FRA,2425,18,34,47.55555555555556,16.08514924219825,7.272474743090476,2.211784820219641,0.00635587233408517,0.31542056074766356,68,1,1,0,1
GER,1516,18,34,47.05555555555556,15.656129122007371,7.272474743090476,2.152792505313565,0.006149990902719944,0.3317591499409681,63,0,0,0,0
GER,1617,18,34,46.888888888888886,13.940583534452415,7.272474743090476,1.9168967960593137,0.004910769141330531,0.32582938388625593,57,0,0,0,0
GER,1718,18,34,46.388888888888886,13.987973359025618,7.272474743090476,1.9234131232034166,0.005051369610198415,0.3077844311377245,62,0,0,0,0
GER,1819,18,34,46.94444444444444,17.00682292915966,7.272474743090476,2.3385193527578374,0.007291308386384561,0.3289940828402367,59,0,0,0,0
GER,1920,18,34,47.22222222222222,16.152055252780958,7.272474743090476,2.2209847161211393,0.006499653979238757,0.33176470588235296,62,0,0,1,0
GER,2021,18,34,46.666666666666664,14.970559343552383,7.272474743090476,2.0585233874859172,0.005717286914765912,0.319047619047619,62,1,0,1,0
GER,2122,18,34,46.94444444444444,14.830303722335968,7.272474743090476,2.0392375699105902,0.005544459021660554,0.31715976331360946,59,1,1,0,0
GER,2223,18,34,46.833333333333336,13.882913747396369,7.272474743090476,1.9089669249915817,0.004881784529518299,0.3202846975088968,42,1,1,0,0
GER,2324,18,34,46.5,18.740487783217947,7.272474743090476,2.576906547667717,0.009023673445946009,0.35842293906810035,73,1,1,0,0
GER,2425,18,34,46.72222222222222,15.21147227880618,7.272474743090476,2.091650066335189,0.005888748602040773,0.31866825208085614,57,1,1,0,0
ITA,1516,20,38,52.25,17.24704398776177,7.688375063113864,2.24326256799139,0.005447870265164066,0.3062200956937799,63,0,0,0,0
ITA,1617,20,38,53,20.56056521852605,7.688375063113864,2.6742406620052206,0.007524685690730916,0.3169811320754717,73,0,0,0,0
ITA,1718,20,38,52.85,20.55102763469762,7.688375063113864,2.6730001419017997,0.0075604406330568264,0.3169347209082308,74,0,0,0,0
ITA,1819,20,38,51.6,18.071204194868464,7.688375063113864,2.3504581978014816,0.00613260210197388,0.29748062015503873,70,0,0,0,0
ITA,1920,20,38,52.75,18.39300496327197,7.688375063113864,2.3923136959739617,0.006078976331689717,0.3042654028436019,63,0,0,1,0
ITA,2021,20,38,52.2,20.62854435255341,7.688375063113864,2.6830824697304316,0.007808473930675987,0.31226053639846746,71,1,0,1,0
ITA,2122,20,38,52.1,18.461624493726667,7.688375063113864,2.4012387978181615,0.0062781889793245725,0.30614203454894434,59,1,1,0,0
ITA,2223,20,38,52,18.43337933435458,7.688375063113864,2.3975650489258116,0.006283089380255374,0.29615384615384616,71,1,1,0,0
ITA,2324,20,38,51.4,18.70097098520485,7.688375063113864,2.4323697571578644,0.006618690589363075,0.3005836575875486,77,1,1,0,0
ITA,2425,20,38,51.6,18.916436740236477,7.688375063113864,2.4603946327997095,0.006719690428523083,0.29748062015503873,64,1,1,0,0
